"date","source","cases"
2003-05-04,"confirmed",0
2003-05-11,"confirmed",0
2003-05-18,"confirmed",0
2003-05-25,"confirmed",0
2003-06-01,"confirmed",0
2003-06-08,"confirmed",0
2003-06-15,"confirmed",0
2003-06-22,"confirmed",0
2003-06-29,"confirmed",0
2003-07-06,"confirmed",0
2003-07-13,"confirmed",0
2003-07-20,"confirmed",0
2003-07-27,"confirmed",0
2003-08-03,"confirmed",0
2003-08-10,"confirmed",0
2003-08-17,"confirmed",0
2003-08-24,"confirmed",0
2003-08-31,"confirmed",0
2003-09-07,"confirmed",0
2003-09-14,"confirmed",0
2003-09-21,"confirmed",0
2003-09-28,"confirmed",0
2003-10-05,"confirmed",0
2003-10-12,"confirmed",0
2003-10-19,"confirmed",0
2003-10-26,"confirmed",0
2003-11-02,"confirmed",0
2003-11-09,"confirmed",0
2003-11-16,"confirmed",0
2003-11-23,"confirmed",0
2003-11-30,"confirmed",0
2003-12-07,"confirmed",0
2003-12-14,"confirmed",0
2003-12-21,"confirmed",0
2003-12-28,"confirmed",0
2004-01-04,"confirmed",0
2004-01-11,"confirmed",0
2004-01-18,"confirmed",0
2004-01-25,"confirmed",0
2004-02-01,"confirmed",0
2004-02-08,"confirmed",0
2004-02-15,"confirmed",0
2004-02-22,"confirmed",0
2004-02-29,"confirmed",0
2004-03-07,"confirmed",0
2004-03-14,"confirmed",0
2004-03-21,"confirmed",0
2004-03-28,"confirmed",0
2004-04-04,"confirmed",0
2004-04-11,"confirmed",0
2004-04-18,"confirmed",0
2004-04-25,"confirmed",0
2004-05-02,"confirmed",0
2004-05-09,"confirmed",0
2004-05-16,"confirmed",0
2004-05-23,"confirmed",0
2004-05-30,"confirmed",0
2004-06-06,"confirmed",0
2004-06-13,"confirmed",0
2004-06-20,"confirmed",0
2004-06-27,"confirmed",0
2004-07-04,"confirmed",0
2004-07-11,"confirmed",0
2004-07-18,"confirmed",0
2004-07-25,"confirmed",0
2004-08-01,"confirmed",0
2004-08-08,"confirmed",0
2004-08-15,"confirmed",0
2004-08-22,"confirmed",0
2004-08-29,"confirmed",0
2004-09-05,"confirmed",0
2004-09-12,"confirmed",0
2004-09-19,"confirmed",0
2004-09-26,"confirmed",0
2004-10-03,"confirmed",0
2004-10-10,"confirmed",0
2004-10-17,"confirmed",0
2004-10-24,"confirmed",0
2004-10-31,"confirmed",0
2004-11-07,"confirmed",0
2004-11-14,"confirmed",0
2004-11-21,"confirmed",0
2004-11-28,"confirmed",0
2004-12-05,"confirmed",0
2004-12-12,"confirmed",0
2004-12-19,"confirmed",0
2004-12-26,"confirmed",0
2005-01-02,"confirmed",0
2005-01-09,"confirmed",0
2005-01-16,"confirmed",0
2005-01-23,"confirmed",0
2005-01-30,"confirmed",0
2005-02-06,"confirmed",0
2005-02-13,"confirmed",0
2005-02-20,"confirmed",0
2005-02-27,"confirmed",0
2005-03-06,"confirmed",0
2005-03-13,"confirmed",0
2005-03-20,"confirmed",0
2005-03-27,"confirmed",0
2005-04-03,"confirmed",0
2005-04-10,"confirmed",0
2005-04-17,"confirmed",0
2005-04-24,"confirmed",0
2005-05-01,"confirmed",0
2005-05-08,"confirmed",0
2005-05-15,"confirmed",0
2005-05-22,"confirmed",0
2005-05-29,"confirmed",0
2005-06-05,"confirmed",0
2005-06-12,"confirmed",0
2005-06-19,"confirmed",0
2005-06-26,"confirmed",0
2005-07-03,"confirmed",0
2005-07-10,"confirmed",0
2005-07-17,"confirmed",0
2005-07-24,"confirmed",0
2005-07-31,"confirmed",0
2005-08-07,"confirmed",0
2005-08-14,"confirmed",0
2005-08-21,"confirmed",0
2005-08-28,"confirmed",0
2005-09-04,"confirmed",0
2005-09-11,"confirmed",0
2005-09-18,"confirmed",0
2005-09-25,"confirmed",0
2005-10-02,"confirmed",0
2005-10-09,"confirmed",0
2005-10-16,"confirmed",0
2005-10-23,"confirmed",0
2005-10-30,"confirmed",0
2005-11-06,"confirmed",0
2005-11-13,"confirmed",0
2005-11-20,"confirmed",0
2005-11-27,"confirmed",0
2005-12-04,"confirmed",0
2005-12-11,"confirmed",0
2005-12-18,"confirmed",0
2005-12-25,"confirmed",0
2006-01-01,"confirmed",0
2006-01-08,"confirmed",0
2006-01-15,"confirmed",0
2006-01-22,"confirmed",0
2006-01-29,"confirmed",0
2006-02-05,"confirmed",0
2006-02-12,"confirmed",0
2006-02-19,"confirmed",0
2006-02-26,"confirmed",0
2006-03-05,"confirmed",0
2006-03-12,"confirmed",0
2006-03-19,"confirmed",0
2006-03-26,"confirmed",0
2006-04-02,"confirmed",0
2006-04-09,"confirmed",0
2006-04-16,"confirmed",0
2006-04-23,"confirmed",0
2006-04-30,"confirmed",0
2006-05-07,"confirmed",0
2006-05-14,"confirmed",0
2006-05-21,"confirmed",0
2006-05-28,"confirmed",0
2006-06-04,"confirmed",0
2006-06-11,"confirmed",0
2006-06-18,"confirmed",0
2006-06-25,"confirmed",0
2006-07-02,"confirmed",0
2006-07-09,"confirmed",0
2006-07-16,"confirmed",0
2006-07-23,"confirmed",0
2006-07-30,"confirmed",0
2006-08-06,"confirmed",0
2006-08-13,"confirmed",0
2006-08-20,"confirmed",0
2006-08-27,"confirmed",0
2006-09-03,"confirmed",0
2006-09-10,"confirmed",0
2006-09-17,"confirmed",0
2006-09-24,"confirmed",0
2006-10-01,"confirmed",0
2006-10-08,"confirmed",0
2006-10-15,"confirmed",0
2006-10-22,"confirmed",0
2006-10-29,"confirmed",0
2006-11-05,"confirmed",0
2006-11-12,"confirmed",0
2006-11-19,"confirmed",0
2006-11-26,"confirmed",0
2006-12-03,"confirmed",0
2006-12-10,"confirmed",0
2006-12-17,"confirmed",0
2006-12-24,"confirmed",0
2006-12-31,"confirmed",0
2007-01-07,"confirmed",0
2007-01-14,"confirmed",0
2007-01-21,"confirmed",0
